positive,negative
"Я чувствую себя более дееспособным после того, как узнаю о своих правах и защите потребителей.","Я чувствую себя более уязвимым после того, как обнаруживаю лазейки в законах о защите потребителей."
Переработанный веб-сайт значительно облегчил поиск информации и доступ к услугам.,Переоборудованная площадка затруднила плавание и поиск необходимых ресурсов.
Я взволнован потенциалом вертикального фермерства для решения проблемы продовольственной безопасности в городах.,Я скептически отношусь к экологическому воздействию энергоемкого внутреннего сельского хозяйства.
Новое приложение для медитации значительно улучшило мою систему управления стрессом и качество сна.,"Излишная программа релаксации мало что сделала, чтобы облегчить мою тревогу и бессонницу."
"Я чувствую себя более связанным с природой после того, как участвую в курсе выживания в пустыне.",Я чувствую себя более отчужденным от внешнего мира после изнурительной и неудобной поездки в поход.
Приверженность компании справедливой торговле улучшила условия труда трудящихся в развивающихся странах.,Практика внешнего подряда организации привела к потере рабочих мест и снижению стандартов на местном уровне.
"Меня впечатляют инновационные решения, представленные в документальном фильме об изменении климата.","Меня разочаровывает мрачный взгляд, изображаемый в фильме об окружающей среде."
Новое пространство для совместной работы способствовало творчеству и созданию возможностей для создания сетей.,Переполненный общий офис привел к отвлечению внимания и отсутствию уединенности.
"Я чувствую себя более уверенным в своих публичных способностях говорить после того, как посещаю коммуникационную мастерскую.","Я больше волнуюсь о том, чтобы представить себя после обучения речи с высоким давлением."
Инициатива города по посадке большего количества деревьев заметно улучшила качество воздуха и эстетику.,Неудовлетворительно спланированное развитие городов привело к потере &quot; зеленых &quot; пространств и росту загрязнения.
Я в восторге от потенциала блокцепных технологий для повышения транспарентности в различных отраслях.,Я беспокоюсь об экологическом воздействии энергоемкого крипто-валютного производства.
Новая выставка виртуальной реальности в музее сделала искусство более интерактивным и интересным.,Чрезмерная опора на технологию в галерее ослабила аутентичный опыт в области искусства.
Я чувствую себя более подготовленным к будущему после участия в семинаре по финансовому планированию.,"После того, как я узнала о сложной пенсионной системе, я чувствую себя более подавленной из-за выхода на пенсию."
Переход компании на устойчивую упаковку значительно уменьшил наш экологический след.,Неудовлетворительно реализованные инициативы по обеспечению экологической безопасности привели к увеличению расходов без каких-либо четких выгод.
"Я впечатлена тем, как школа интегрирует технологию, чтобы повысить опыт обучения.",Меня беспокоит чрезмерное использование экранов и цифровых инструментов в образовании.
Рынок новых фермеров принес в наш район свежую местную продукцию и чувство общности.,Ценные бутиковые продовольственные магазины сделали покупки продуктов более дорогостоящими и менее доступными.
Я чувствую себя более осведомленным во всем мире после участия в программе культурного обмена.,Я чувствую себя более разочарованным по поводу международных отношений после разочаровывающего зарубежного опыта.
Новаторская система управления движением значительно сократила заторы в центре города.,Неудовлетворительно осуществленные дорожные изменения привели к хаосу и увеличению продолжительности поездок для пассажиров.
Я взволнован потенциалом генного редактирования для предотвращения наследственных заболеваний.,Я обеспокоен этическими последствиями изменения человеческой ДНК.
Новая программа рециркуляции позволила жителям значительно облегчить сокращение своих отходов.,Сложная система сортировки отходов не позволяет многим людям надлежащим образом рециркулироваться.
"Я чувствую себя более уверенным в принятии решений после того, как узнаю о когнитивных предубеждениях.",Я чувствую себя более неуверенным в своих суждениях после изучения недостатков человеческих рассуждений.
Политика компании в отношении гибкого рабочего времени значительно улучшила мой баланс между работой и личной жизнью.,Ожидание постоянной готовности размыло границы между работой и личным временем.
"Я впечатлена тем, как город оживил старую промышленную зону и превратил ее в процветающий район искусств.","Меня беспокоит то, что джентльмация выгоняет давно проживающих в этом районе жителей."
Новое приложение для наблюдения за состоянием здоровья побудило меня принять более здоровые привычки и рутины.,Постоянное наблюдение за состоянием здоровья усилило мою тревогу по поводу каждого небольшого физического изменения.
Я чувствую себя более привязанным к своему наследию после изучения генеалогии моей семьи.,"Я чувствую себя более оторванным от своих корней после того, как узнала неудобную истину о моем происхождении."
Новаторские методы преподавания сделали обучение математике гораздо более интересным и понятным.,Экспериментальная учебная программа привела к путанице и отставанию учащихся от основных навыков.
Я в восторге от возможности 3D-печати революционизировать производство и сократить отходы.,Меня беспокоит влияние трехмерной печати на традиционное мастерство и рынок труда.
Новая система общественного транспорта сделала поездки гораздо более эффективными и приятными.,Из-за плохо спланированных изменений в транзитных перевозках город стал еще более разочаровывающим и отнимающим много времени.
"Я чувствую себя более дееспособным после того, как узнаю о своих правах арендатора.","Я чувствую себя более уязвимым после того, как обнаруживаю лазейки в жилищных правилах."
Программа наставничества компании значительно ускорила мой профессиональный рост.,Отсутствие руководства в моей карьере заставило меня чувствовать себя застоем и неуверенностью.
"Я впечатлена тем, как сообщество объединилось, чтобы поддержать местный бизнес во время экономического спада.",Меня огорчает отсутствие солидарности в нашем районе в трудные времена.
Новое спортивное оборудование сделало мои тренировки более эффективными и приятными.,Перенаселенный фитнес-центр стал более напряженным и менее продуктивным.
"Я чувствую себя более креативно после того, как взялась за новое хобби городского рисунка.","Я чувствую себя более расстроенной, когда пытаюсь научиться рисовать."
Прозрачность компании в отношении ее воздействия на окружающую среду повысила мое доверие к их торговой марке.,Попытки организации промыть зелень заставили меня скептически относиться к их экологическим претензиям.
"Я в восторге от потенциала усиленной реальности, чтобы улучшить повседневный опыт.","Меня беспокоит растущее отсутствие связи с реальностью, когда люди погружаются в виртуальные миры."
Новый общинный центр стал активным центром социальной деятельности и обучения.,Недоиспользованное общественное пространство стало истощением местных ресурсов и упущенной возможностью.
"Я чувствую себя более информированным о глобальных проблемах после того, как подписываюсь на международную службу новостей.","После того, как я постоянно сталкиваюсь с глобальными проблемами, я чувствую себя более подавленным и озабоченным."
Новаторский подход к управлению отходами позволил значительно сократить количество свалок в нашем районе.,Неэффективная программа рециркуляции мало что сделала для решения нашей растущей проблемы мусора.
"Я впечатлена тем, как школа включила в свою учебную программу помощь в области психического здоровья.",Меня беспокоит отсутствие ресурсов для благополучия учащихся в нашей системе образования.
Новое совместное рабочее пространство способствовало творчеству и улучшению динамики коллектива.,Отделение открытого плана усилило отвлечение внимания и снизило производительность.
Я чувствую себя более уверенным в своих кулинарных навыках после прохождения курса кулинарии в Интернете.,"Я чувствую себя более подавленной из-за своих способностей на кухне после того, как не смог освоить рецепты."
Инициатива города по созданию большего числа &quot; зеленых &quot; мест позволила значительно улучшить условия жизни в городах.,Отсутствие внимания к общественным паркам привело к сокращению возможностей для отдыха на открытом воздухе.
Я в восторге от возможности индивидуализированного лечения для улучшения результатов лечения.,Я беспокоюсь о последствиях генетического профилирования для частной жизни в сфере здравоохранения.
Новое приложение для составления бюджета помогло мне взять под контроль мои финансы и уменьшить стресс.,Сложное финансовое программное обеспечение сделало управление моими деньгами более запутанным и вызывающим тревогу.
Я чувствую себя более привязанным к своему культурному наследию после посещения традиционного фестиваля.,Я чувствую себя более оторванным от своих корней после коммерциализации наших культурных праздников.
Приверженность компании обеспечению баланса между работой и личной жизнью значительно повысила степень удовлетворенности работников.,"Ожидания организации в отношении постоянной готовности привели к тому, что сотрудники оказались в упадке."
"Меня впечатляют новаторские решения, представленные на конференции по устойчивому развитию.",Меня расстраивает отсутствие практических идей на экологическом симпозиуме.
Новые велосипедные дорожки сделали путешествия более безопасными и более приятными для велосипедистов.,Неудовлетворительно спланированные велосипедные маршруты привели к увеличению заторов дорожного движения и опасности для пешеходов.
"Я чувствую себя более внимательным и расслабленным после того, как регулярно практиковаю медитацию.","Я чувствую себя более расстроенной и нетерпеливой после того, как пытаюсь очистить свой разум во время попыток медитации."
Инвестиции компании в профессиональную подготовку сотрудников значительно повысили производительность и моральный дух.,Отсутствие возможностей для профессионального роста привело к стагнации и неудовлетворенности работой.
Я в восторге от потенциала возобновляемых источников энергии для создания более устойчивого будущего.,"Меня беспокоит экономический срыв, вызванный отходом от традиционных источников энергии."
"Новый общинный сад превратил пустой участок в прекрасное, продуктивное пространство.",Забытая общественная зона стала зрением и источником жалоб по соседству.
Я чувствую себя более уверенным в своей способности справляться с чрезвычайными ситуациями после прохождения курса первой помощи.,"Меня больше волнуют потенциальные несчастные случаи после того, как я узнаю обо всех вещах, которые могут пойти не так."
